"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"FIN","Finland",15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.3,15.5,22.2,21,21,21,
"FRA","France",14.5,14.5,14.5,14.5,14.6,14.6,14.6,14.7,14.7,14.7,14.8,14.8,15.5,15.1,15.9,15.9,
"GAB","Gabon",5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,
"GMB","Gambia",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.2,1,0.8,0.6,0.6,0.6,
"GEO","Georgia",12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.5,13.1,13.3,13,13,13,13,
"DEU","Germany",14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.9,16.4,17.9,17.9,17.9,
"GHA","Ghana",1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1.1,1.1,1.2,1.2,1.2,
"GRC","Greece",12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.7,13.1,13.4,13.6,14.2,14.7,15.7,15.7,15.7,
"GRD","Grenada",5,5,5,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
"GTM","Guatemala",5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
"GIN","Guinea",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.2,0.2,0.2,
"GNB","Guinea-Bissau",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.6,0.6,0.6,
"GUY","Guyana",3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,
"HTI","Haiti",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
"HND","Honduras",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
"HUN","Hungary",15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16,14.7,15.2,14.8,12.5,12.5,12.5,
"ISL","Iceland",17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,19.2,20.9,22.6,24.3,24.3,24.3,
"IND","India",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
"IDN","Indonesia",1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.5,1.8,2.2,2.6,2.6,2.6,2.6,
"IRN","Iran, Islamic Republic of",3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,
