ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
GMB,Gambia,0.952324779,0.901917438,0.895324566,0.885529023,0.873291551,0.860181344,0.797884858,0.788318295,0.782099562,0.779830278,0.780125778,0.731379844,0.732169557,0.732233356,0.731170233,0.72942265,0.72942265,0.72942265
GEO,Georgia,1,1,1,1,1,1,1,1,1,1,0.467621026,0.561661896,1,1,0.583809892,0.554445751,0.554445751,0.554445751
DEU,Germany,0.578015642,0.396737652,0.295577416,0,0.036694343,0.278755394,0.734211716,0.734162379,1,1,1,1,1,1,1,1,1,1
GHA,Ghana,0.852878528,0.874864603,0.882658496,0.884947088,0.879338743,0.868666031,0.850632225,0.842020111,0.834695471,0.82917859,0.825015216,0.802448374,0.79912313,0.796614863,0.79500455,0.79410987,0.79410987,0.79410987
GRC,Greece,0.597597194,0.607984468,0.620560187,0.639657004,0.671494678,0.734916698,0.826579539,0.782526646,0.795628793,0.77887265,0.752402167,0.873801809,0.875796372,0.875928382,0.865317018,1,1,1
GRD,Grenada,0.88163303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GTM,Guatemala,0.70224346,0.704451517,0.703403465,0.700587496,0.695679066,0.689731709,0.686227145,0.68112575,0.677546032,0.67574446,0.675066037,0.684357744,0.683670902,0.682020988,0.679097597,0.675577272,0.675577272,0.675577272
GIN,Guinea,0.6159085,0.666942512,0.731344903,0.815584788,0.864648249,0.851078191,0.883991009,0.871646687,0.856009126,0.842136406,0.828739329,0.865003316,0.843028835,0.819535557,0.795566419,0.77360992,0.77360992,0.77360992
GNB,GuineaBissau,1,1,1,1,1,1,1,1,1,0.990447671,0.975044958,0.957644649,0.944144068,0.93221231,0.922132949,0.913481704,0.913481704,0.913481704
GUY,Guyana,0,0,0,0,0,0,0.055698007,0.129283343,0.156318031,0.142263482,0.092912268,0.503796427,0.504544643,0.505269259,0.505555412,0.505396819,0.505396819,0.505396819
HTI,Haiti,1,0.971685013,0.969281632,0.970640687,0.976954938,0.987162587,1,1,1,1,1,1,1,1,1,1,1,1
HND,Honduras,0.738130475,0.749952362,0.757685431,0.763682842,0.766852021,0.767716929,0.839172406,0.838446728,0.836649071,0.833872385,0.830384364,0.800083471,0.797087858,0.793539296,0.789437142,0.785278642,0.785278642,0.785278642
HUN,Hungary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISL,Iceland,0.677210025,0.655714022,0.602455079,0.578245826,0.569175807,0.5609924,0.551744028,0.576953706,0.599053576,0.578024342,0.543216261,0.526860698,0.524890064,0.533822175,0.684079811,1,1,1
IND,India,0.710981871,0.713810663,0.716803896,0.72012999,0.72385383,0.727859529,0.842659745,0.847497356,0.851761971,0.855143384,0.857823351,0.889547782,0.892240694,0.894404202,0.89593756,0.89715012,0.89715012,0.89715012
IDN,Indonesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRN,"Iran, Islamic Republic of",0.903465264,0.966901348,0.833884459,0.825385015,0.836572528,0.864154441,0.870074328,0.90097832,0.92577396,0.935335298,0.932365604,0.668237721,0.668926501,0.670189881,0.672712118,0.676378013,0.676378013,0.676378013
IRQ,Iraq,0.445343919,0.447397556,0.447272438,0.447146712,0.447020226,0.446893081,0.448378582,0.448273045,0.448166815,0.448060226,0.447953044,0.46760916,0.467571346,0.467533441,0.467495422,0.467457274,0.467457274,0.467457274
IRL,Ireland,0.839910636,0.763912874,0.706192774,0.697156156,0.68117326,0.651458397,0.63593443,0.627330113,0.63144016,0.615514259,0.594713062,0.59826742,0.604074298,0.648330938,0.808757502,1,1,1
ISR,Israel,0.520922671,0.514169246,0.514828097,0.51618757,0.514526837,0.513989266,0.514647761,0.517130878,0.519096328,0.519492293,0.519531089,0.518845777,0.518745271,0.518727754,0.513910598,0.518189174,0.518189174,0.518189174
ITA,Italy,1,1,1,1,1,1,1,0.672155016,0.569663113,0.555023246,0.573278534,0.664168106,0.627164507,0.621417569,0.654641477,0.69247431,0.69247431,0.69247431
JAM,Jamaica,0.786413717,0.697042839,0.745682809,0.762386198,0.841432978,0.896600616,0.569297426,0.584371834,0.631080999,0.587002448,0.588049177,0.485926095,0.485856914,0.484170848,0.478435349,0.467564512,0.467564512,0.467564512
JPN,Japan,0.72748776,0.816228803,0.80886273,0.819818815,0.92534626,0.96410871,1,1,1,1,1,1,1,1,1,1,1,1
JOR,Jordan,0.742803776,0.560204675,0.559984173,0.559745767,0.601482131,0.573364357,0.569314259,0.570494149,0.568851142,0.570312834,0.574391551,0.569525072,0.571173524,0.572531998,0.572168653,0.571311374,0.571311374,0.571311374
KAZ,Kazakhstan,1,1,1,1,1,1,1,0,0,0.235845964,0.292732655,0.329150851,0.341449942,0.350604089,0.430830898,0.370682086,0.370682086,0.370682086
KEN,Kenya,0.788857769,0.820994246,0.829494674,0.833084993,0.82977376,0.821876975,0.842007174,0.833096484,0.826222616,0.822111218,0.819601392,0.837705387,0.834089377,0.82799735,0.818955402,0.808661408,0.808661408,0.808661408
KIR,Kiribati,0.783776928,1,1,1,1,1,0.575887906,0.574328198,0.574025747,0.57551214,0.578199136,0.535247844,0.536663753,0.537702724,0.538091681,0.538026087,0.538026087,0.538026087
