ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CHL,Chile,0.503501429,0.517268035,0.527055961,0.545786266,0.582752471,0.59801946,0.626654709,0.648333328,0.666838984,0.692976968,0.72845942,0.739611811,0.782691067,0.802874055,0.823773939,0.85861336,0.864724436,0.863224436
CHN,China,0.268226294,0.271483599,0.277549601,0.284531309,0.285747474,0.293288367,0.314253056,0.337848225,0.356199858,0.378319078,0.391219698,0.401109124,0.424702932,0.442705908,0.452240803,0.477498415,0.476927376,0.488927376
COL,Colombia,0.291409636,0.298150424,0.320074171,0.33805566,0.330613319,0.331078223,0.345397604,0.357257382,0.365678806,0.401392835,0.465445717,0.516020078,0.54048551,0.582717054,0.603561153,0.629406312,0.65281585,0.652149184
COM,Comoros,0.153074103,0.153074103,0.147768258,0.142462399,0.138219003,0.133556756,0.147066678,0.16057661,0.168106222,0.164265781,0.170185708,0.181077442,0.186067325,0.198895328,0.207580582,0.226462664,0.238456875,0.271790208
COG,Congo,0.152983166,0.153049065,0.140472684,0.127896299,0.137227266,0.157583128,0.164401675,0.172365248,0.181732467,0.188593446,0.178458908,0.212810067,0.233792244,0.262220029,0.278257651,0.359533696,0.375030819,0.373530819
COD,"Congo,DRC",0.12711358,0.125276441,0.123457887,0.121635493,0.119817971,0.12267937,0.126258837,0.131251391,0.137533186,0.143898495,0.152861252,0.163180359,0.173053677,0.195646381,0.205409988,0.187263193,0.191513193,0.184763193
CRI,Costa Rica,0.426051531,0.427473019,0.433276397,0.440350563,0.438334296,0.438344984,0.445425225,0.455043012,0.467135868,0.466535019,0.471860551,0.490950968,0.502503898,0.536516514,0.55657785,0.612291174,0.627361432,0.623528099
CIV,Cªte d'Ivoire,0.231034577,0.2339444,0.232847589,0.232120172,0.228490357,0.223835604,0.221899811,0.220343235,0.219240091,0.227100933,0.230227408,0.250164621,0.283484862,0.308379696,0.34282781,0.358623558,0.355781475,0.355781475
HRV,Croatia,0.32735475,0.334106141,0.343745398,0.36148879,0.386448162,0.430994446,0.466478521,0.496639451,0.528944539,0.559379738,0.607599691,0.618554072,0.635927199,0.646033577,0.645088412,0.676482803,0.676930489,0.673597156
CUB,Cuba,0.197859992,0.193680386,0.197270953,0.202437441,0.236405238,0.242919597,0.25309031,0.256872279,0.281164636,0.388403479,0.431124981,0.491622632,0.496146179,0.49334815,0.50607627,0.512687236,0.515833284,0.515833284
