name,ISO3,business,finan,fiscal,gov_spend,invest,monetary,trade,non_violence,voice_accountability,corruption,mobiles,enrollment,rule_of_law,labor,economic,governance,social,readiness
Barbados,BRB,0.9,0.6,0.701,0.546,0.45,0.731,0.605,0.716680845,0.724705133,0.765247317,1,#N/A,0.692630965,0.8,0.593857143,0.309930641,0.336989183,0.421278124
Belarus,BLR,0.721,0.1,0.852,0.32,0.2,0.626,0.803,0.572562029,0.194300194,0.345331893,1,1,0.314842915,0.848,0.647571429,0.735544432,#N/A,0.709970797
Belgium,BEL,0.929,0.7,0.422,0.3,0.8,0.779,0.875,0.655554733,0.775937668,0.784121502,1,0.863598858,0.771540843,0.671,0.517428571,0.370731372,0.790710729,0.542082528
Belize,BLZ,0.741,0.5,0.683,0.749,0.5,0.756,0.715,0.515266045,0.647386959,0.487261394,0.534097539,0.158639156,0.424311933,0.817,0.686428571,0.738537967,0.826534925,0.743213824
Benin,BEN,0.423,0.5,0.759,0.852,0.6,0.746,0.57,0.587662907,0.560970394,0.371745552,0.61966348,0.07684576,0.363815347,0.478,0.663428571,0.549971466,0.483512157,0.55618068
Bhutan,BTN,0.605,0.3,0.841,0.583,0.15,0.734,0.52,0.635686674,0.374388334,0.66569722,0.515902974,0.090072137,0.532423978,0.851,0.635714286,0.506792951,0.384581147,0.50523374
Bolivia,BOL,0.573,0.5,0.843,0.675,0.15,0.632,0.769,0.337009141,0.483485591,0.359854423,0.797257591,0.514635498,0.257837114,0.394,0.533285714,0.558590742,0.497349772,0.511479727
Bosnia & Herzegovina,BIH,0.613,0.6,0.832,0.288,0.7,0.747,0.808,0.386793461,0.490466616,0.439601642,0.951251228,0.523331113,0.422945022,0.612,0.591714286,0.393449718,0.490932551,0.491500706
Botswana,BWA,0.705,0.7,0.741,0.671,0.8,0.688,0.739,0.679515418,0.581056877,0.669740298,1,0.099596703,0.626848399,0.708,0.655428571,0.438953906,0.627381841,0.566621133
Brazil,BRA,0.545,0.5,0.684,0.503,0.45,0.758,0.692,0.557021803,0.600656324,0.487104774,0.98772285,0.531330384,0.463971644,0.575,0.720571429,0.643437531,0.608611276,0.639279954
Brunei Darussalam,BRN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.767220059,0.343450946,0.689304333,1,0.24251139,0.656900934,#N/A,0.590285714,0.548260967,0.63950622,0.578255312
Bulgaria,BGR,0.778,0.6,0.863,0.483,0.5,0.695,0.874,0.593221489,0.606405029,0.477102151,1,0.699818469,0.491036733,0.781,#N/A,0.599991779,#N/A,#N/A
Burkina Faso,BFA,0.6,0.5,0.804,0.8,0.5,0.73,0.713,0.477198474,0.450431876,0.412568656,0.230305059,0.048175946,0.44409148,0.644,0.684714286,0.558909556,0.742963801,0.649683592
Burundi,BDI,0.378,0.3,0.722,0.427,0.5,0.627,0.686,0.217917696,0.356223951,0.277779173,0.111070546,0.037914313,0.262230296,0.669,0.663857143,0.446733002,0.341643121,0.492453332
Cambodia,KHM,0.399,0.5,0.91,0.929,0.6,0.705,0.7,0.37611043,0.325463842,0.265526139,0.415545507,0.141428571,0.292897786,0.436,0.52,0.283973607,0.270053789,0.362162719
Cameroon,CMR,0.372,0.5,0.718,0.927,0.35,0.719,0.597,0.418987442,0.296545306,0.317938314,0.416812974,0.127637306,0.288303628,0.522,0.677571429,0.322366804,0.321467966,0.453681357
Canada,CAN,0.965,0.8,0.767,0.541,0.75,0.754,0.881,0.701061292,0.785136102,0.903199559,0.752494821,0.782811168,0.852290031,0.815,0.597571429,0.344490354,0.338688477,0.430860406
Cape Verde,CPV,0.633,0.6,0.656,0.653,0.6,0.745,0.655,0.66160926,0.667771322,0.638452247,0.852837981,0.210925581,0.593751547,0.481,0.779714286,0.796465651,0.800649005,0.79271417
Central African Rep,CAF,0.375,0.3,0.655,0.941,0.4,0.683,0.581,0.097872691,0.30542268,0.336663891,0.041787293,0.03476682,0.23885536,0.507,0.648857143,0.655944276,0.534628777,0.603472136
Chad,TCD,0.327,0.4,0.505,0.892,0.45,0.767,0.584,0.153196975,0.22228763,0.225654836,0.263658748,0.028303251,0.197479862,0.469,0.562142857,0.246653087,0.205602368,0.353592087
Chile,CHL,0.648,0.7,0.775,0.896,0.8,0.73,0.88,0.624398489,0.690619002,0.771450714,1,0.751465784,0.747604067,0.754,0.560714286,0.200379814,0.239610465,0.343545757
China,CHN,0.497,0.3,0.702,0.881,0.2,0.706,0.722,0.413023043,0.172661585,0.395434735,0.617142085,0.346956249,0.4311077,0.532,0.775571429,0.695489402,0.813267463,0.756476649
Colombia,COL,0.836,0.6,0.743,0.748,0.55,0.74,0.725,0.169374042,0.457966964,0.442213303,1,0.523029022,0.412816043,0.727,0.572571429,0.327039788,0.481801508,0.462370947
Comoros,COM,0.437,0.2,0.65,0.851,0.1,0.764,0.624,0.2996402,0.441811787,0.350993735,0.166894667,0.073313177,0.284916378,0.314,0.706,0.356518103,0.665711266,0.569248912
Congo,COG,0.335,0.2,0.74,0.905,0.15,0.587,0.617,0.418609659,0.294734146,0.258998684,0.648379581,0.091145057,0.264514114,0.334,0.518,0.364148574,0.209781056,0.376269742
"Congo, Dem Rep",COD,0.487,0.3,0.603,0.693,0.15,0.708,0.61,0.078212531,0.213875096,0.21949686,0.169337599,0.08538354,0.163233305,0.481,0.504857143,0.324114163,0.334509688,0.383825693
Costa Rica,CRI,0.593,0.5,0.824,0.87,0.7,0.678,0.825,0.628906049,0.692032837,0.637911087,0.468524911,0.325770815,0.611384854,0.59,0.507285714,0.170528162,0.224738611,0.311392531
C™te d'Ivoire,CIV,0.437,0.5,0.783,0.871,0.35,0.76,0.643,0.197310617,0.270126592,0.269692462,0.696582303,0.112421314,0.236233821,0.561,0.712857143,0.652949991,0.498920145,0.627644103
Croatia,HRV,0.615,0.6,0.703,0.471,0.65,0.758,0.878,0.61859776,0.610646299,0.506907323,1,0.715601221,0.54284738,0.408,0.620571429,0.24570989,0.40155936,0.419625884
Cuba,CUB,0.1,0.1,0.459,0.094,0.099,0.667,0.617,0.505099666,0.160638174,0.557617077,0.043492696,1,0.371766847,0.2,0.667857143,0.578717127,0.66661215,0.636993596
Cyprus,CYP,0.803,0.7,0.727,0.448,0.7,0.829,0.825,0.573367459,0.710281661,0.697537563,1,0.584475429,0.730212547,0.615,0.305142857,0.407784973,0.403814886,0.393770542
Czech Republic,CZE,0.655,0.8,0.801,0.456,0.7,0.756,0.875,0.682026695,0.709547703,0.591052328,1,0.799101944,0.690767264,0.764,0.718857143,0.660395561,0.732421994,0.697874028
Denmark,DNK,0.979,0.9,0.359,0.22,0.9,0.793,0.875,0.705053171,0.808910197,0.979412596,1,1,0.870623526,0.937,0.720428571,0.660875575,0.813467302,0.72362198
