name,ISO3,business,finan,fiscal,gov_spend,invest,monetary,trade,non_violence,voice_accountability,corruption,mobiles,enrollment,rule_of_law,labor,economic,governance,social,readiness
Poland,POL,0.622,0.6,0.749,0.468,0.6,0.781,0.875,0.679515768,0.703065141,0.595566992,1,0.952175864,0.63520045,0.615,0.655142857,0.351783416,0.54952596,0.516871422
Portugal,PRT,0.805,0.6,0.61,0.371,0.7,0.797,0.875,0.656578575,0.739801718,0.713895425,1,0.825441738,0.705350742,0.37,0.670714286,0.659382634,0.800594078,0.705598601
Qatar,QAT,0.737,0.5,0.999,0.737,0.45,0.659,0.822,0.721279787,0.323797104,0.824551292,1,0.144811543,0.689860073,0.691,0.679714286,0.703425239,0.72519812,0.70449997
Romania,ROU,0.725,0.5,0.858,0.598,0.75,0.733,0.875,0.579358714,0.591494152,0.474413656,1,0.899063452,0.51993003,0.604,0.700571429,0.623209395,0.631417904,0.635188937
Russian Fed,RUS,0.522,0.4,0.823,0.665,0.25,0.626,0.684,0.356471736,0.312242429,0.277865202,1,1,0.346996711,0.596,0.719857143,0.548422174,0.755748371,0.674555267
Rwanda,RWA,0.745,0.4,0.771,0.756,0.4,0.669,0.674,0.435493903,0.245503172,0.524890871,0.267281493,0.068147074,0.399878882,0.892,0.567142857,0.315526455,0.735749178,0.536005409
Saint Kitts and Nevis,KNA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.732483069,0.703014805,0.718965594,1,0.262996714,0.647913083,#N/A,0.630714286,0.401962649,0.406826863,0.477595244
Saint Lucia,LCA,0.884,0.4,0.732,0.714,0.55,0.801,0.719,0.648454684,0.750831888,0.750545911,1,0.226856944,0.6661971,0.842,#N/A,0.718154489,#N/A,#N/A
St Vincent & Grenadines,VCT,0.799,0.4,0.725,0.641,0.55,0.713,0.733,0.677712389,0.716524566,0.718965594,1,#N/A,0.674462102,0.776,0.685714286,0.716610828,0.683763511,0.670669854
Samoa,WSM,0.732,0.3,0.796,0.675,0.3,0.738,0.7,0.71463586,0.60709803,0.520682795,0.928731982,0.087246595,0.628095083,0.808,0.651571429,0.70440085,#N/A,0.698009965
San Marino,SMR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.789169076,0.742688939,#N/A,0.839400973,#N/A,0.675584576,#N/A,0.605857143,0.614138895,0.613018415,0.58494902
Sao Tome & Principe,STP,0.435,0.3,0.871,0.525,0.45,0.59,0.666,0.542762969,0.533836444,0.421443537,0.432551995,0.058150571,0.355690393,0.476,#N/A,#N/A,#N/A,#N/A
Saudi Arabia,SAU,0.846,0.5,0.996,0.681,0.45,0.623,0.825,0.427264894,0.148798694,0.528999935,1,0.463542467,0.524444975,0.744,0.548142857,0.49934765,0.33059824,0.455845445
Senegal,SEN,0.631,0.4,0.647,0.778,0.35,0.752,0.697,0.470959862,0.438293811,0.395304956,0.605672819,0.113791166,0.438944196,0.419,0.703,0.368354508,0.682996861,0.577667497
Serbia,SRB,0.589,0.5,0.832,0.414,0.5,0.645,0.752,0.400905578,0.562997031,0.462744022,1,0.705016762,0.418566793,0.722,0.607857143,0.434852876,0.394352045,0.48006756
Seychelles,SYC,0.642,0.3,0.764,0.093,0.5,0.579,0.334,0.640862233,0.507650718,0.564502604,1,#N/A,0.514930575,0.598,0.604571429,0.475548877,0.711395889,0.582945102
Sierra Leone,SLE,0.546,0.2,0.809,0.805,0.4,0.717,0.628,0.420900746,0.448559645,0.306313867,0.223998332,0.02459952,0.307121856,0.39,0.458857143,0.571005185,#N/A,0.540291
Singapore,SGP,0.982,0.5,0.907,0.953,0.75,0.809,0.9,0.727577808,0.419810927,0.947702272,1,#N/A,0.819075353,0.989,0.586428571,0.391924752,0.236429927,0.415969771
Slovakia,SVK,0.726,0.7,0.84,0.645,0.7,0.782,0.875,0.675499969,0.672559719,0.564260211,1,0.735342858,0.629535673,0.651,0.828714286,0.698363669,#N/A,0.802605019
Slovenia,SVN,0.833,0.5,0.64,0.461,0.7,0.76,0.875,0.672061898,0.695394186,0.709186996,1,1,0.720276129,0.435,0.752571429,0.637439966,0.753969633,0.711286029
Solomon Islands,SLB,0.632,0.3,0.679,#N/A,0.1,0.655,0.652,0.569047466,0.536940997,0.427050868,0.063077011,#N/A,0.367000405,0.684,0.681285714,0.69221436,0.788819032,0.723969012
Somalia,SOM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.105510596,0.156741368,0.077202499,#N/A,0,#N/A,#N/A,0.51101311,#N/A,#N/A
South Africa,ZAF,0.73,0.6,0.691,0.768,0.45,0.702,0.76,0.503815625,0.611819144,0.520332321,1,#N/A,0.511136377,0.59,#N/A,0.087417321,#N/A,#N/A
Spain,ESP,0.758,0.8,0.581,0.548,0.8,0.777,0.875,0.464399413,0.735078989,0.700122853,1,0.967977189,0.724398242,0.473,0.671571429,0.545322363,#N/A,0.625361172
Sri Lanka,LKA,0.718,0.4,0.735,0.839,0.15,0.568,0.622,0.237001165,0.400829353,0.428566043,0.763656425,#N/A,0.485154732,0.707,0.734142857,0.633200418,0.791343858,0.726502519
Sudan,SDN,0.440000002,0.240000001,0.597600003,0.720800004,0.240000001,0.381600002,0.296000002,0,0.185985858,0.253707618,0.39916992,0.0677608,0.233925849,#N/A,0.576,0.35546552,#N/A,0.510075748
Suriname,SUR,0.41,0.3,0.669,0.778,0.15,0.678,0.664,0.535153038,0.581408361,0.434340464,1,0.175963,0.475015455,0.845,0.416571431,0.146564492,#N/A,0.274402558
Swaziland,SWZ,0.672,0.4,0.631,0.555,0.55,0.688,0.749,0.504676418,0.260007827,0.446825252,0.608978038,0.057659949,0.374660092,0.684,0.521285714,0.516967288,0.623994614,0.520952217
Sweden,SWE,0.955,0.8,0.367,0.173,0.85,0.795,0.875,0.717859485,0.80802204,0.941463785,1,0.974445532,0.881574933,0.549,0.606428571,0.403836499,0.43132452,0.471562825
Switzerland,CHE,0.812,0.8,0.682,0.689,0.8,0.813,0.9,0.74030236,0.808819048,0.898124361,1,0.677451018,0.846634737,0.818,0.687857143,0.822448437,0.851255116,0.784958565
Syria,SYR,0.592,0.2,0.87,0.802,0.2,0.633,0.54,0.364732543,0.176760607,0.310367772,0.505719459,0.211036429,0.407593454,0.647,0.785142857,0.81574859,0.835521439,0.802095381
Tajikistan,TJK,0.574,0.4,0.889,0.78,0.25,0.584,0.825,0.301632613,0.237646353,0.280845539,0.775291587,0.279369231,0.259144961,0.544,0.548142857,0.283953641,0.442837335,0.423904925
Tanzania,TZA,0.455,0.5,0.803,0.826,0.65,0.708,0.705,0.516417335,0.472096838,0.417148143,0.439342742,0.018612643,0.413127281,0.584,0.614571429,0.273374835,0.464451445,0.447606931
Thailand,THA,0.707,0.7,0.747,0.898,0.4,0.664,0.759,0.281174297,0.420141181,0.454123924,1,0.630824182,0.473531405,0.736,0.663857143,0.468554105,0.363770667,0.500401181
Timor-Leste,TLS,0.462,0.2,0.647,0.541,0.2,0.725,0.73,0.404317204,0.517505193,0.304832647,#N/A,#N/A,0.25298278,0.656,0.696428571,0.385146467,0.710088897,0.591319395
Togo,TGO,0.368,0.3,0.562,0.86,0.25,0.745,0.628,0.457751887,0.29478297,0.286201536,0.363530456,0.071095423,0.322759728,0.433,0.500714286,0.408885015,#N/A,0.448275018
Tonga,TON,0.782,0.2,0.828,0.708,0.25,0.635,0.562,0.539789761,0.489314394,0.36085052,0.560754855,0.080204206,0.494448918,0.937,0.530428571,0.346245465,0.297596402,0.395216542
Trinidad & Tobago,TTO,0.59,0.7,0.808,0.723,0.6,0.693,0.817,0.504263712,0.59868001,0.481698915,1,0.148797129,0.462755695,0.78,0.566428571,0.463318225,0.518101995,0.497899393
Tunisia,TUN,0.802,0.3,0.744,0.785,0.35,0.765,0.535,0.545035499,0.248797204,0.503441567,1,0.46216992,0.543280062,0.674,0.704428571,0.528214212,0.597888206,0.590356753
Turkey,TUR,0.689,0.5,0.781,0.829,0.65,0.7,0.864,0.325283278,0.47652694,0.518430348,0.92303493,0.526157349,0.524130323,0.411,0.611571429,0.432424757,0.669862496,0.558585101
Turkmenistan,TKM,0.3,0.1,0.902,0.947,0.099,0.628,0.792,0.535868974,0.09246661,0.216526671,0.322903802,#N/A,0.228262618,0.3,0.716142857,0.440080189,0.596080651,0.590173922
Tuvalu,TUV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.787078717,0.660128752,0.465252898,0.138343496,#N/A,0.70229491,#N/A,0.538285714,0.281620752,#N/A,0.393031541
Uganda,UGA,0.57,0.6,0.805,0.855,0.45,0.781,0.721,0.289981122,0.403691233,0.327526135,0.315565576,0.0579249,0.414403991,0.881,#N/A,0.637486789,#N/A,#N/A
Ukraine,UKR,0.387,0.3,0.779,0.411,0.2,0.612,0.826,0.44651698,0.487529923,0.321321984,1,1,0.35483017,0.577,0.683142857,0.340399497,0.417223617,0.48237793
United Arab Emirates,ARE,0.674,0.5,0.999,0.809,0.35,0.688,0.828,0.67966484,0.327453988,0.705370622,1,0.429986417,0.603949306,0.793,0.502142857,0.418456295,0.732957543,0.540738627
United Kingdom,GBR,0.949,0.8,0.618,0.419,0.9,0.737,0.875,0.560165898,0.758496734,0.805715058,1,0.787408321,0.837763085,0.728,0.692571429,0.570829817,0.706733931,0.641305709
United States,USA,0.913,0.7,0.675,0.58,0.75,0.781,0.869,0.581158891,0.720769411,0.733977691,1,1,0.801959708,0.948,0.756857143,0.708125897,0.838292851,0.76409994
Uruguay,URY,0.631,0.3,0.817,0.726,0.75,0.723,0.828,0.674861304,0.717413572,0.741592055,1,0.890217738,0.643184441,0.762,0.752571429,0.678635331,0.937489927,0.782224037
Uzbekistan,UZB,0.678,0.1,0.884,0.726,0.1,0.624,0.651,0.320332074,0.117972518,0.249740343,0.650399408,0.138254066,0.258741274,0.611,0.682142857,0.711288977,0.823850545,0.72769772
Vanuatu,VUT,0.687,0.4,0.949,0.843,0.2,0.768,0.551,0.750506586,0.614977577,0.578935405,0.580084074,0.059920709,0.580176867,0.55,0.537571429,0.229348312,0.414598687,0.386557265
Venezuela,VEN,0.503,0.2,0.74,0.618,0.05,0.477,0.572,0.220713256,0.343051108,0.263097671,1,1,0.186015804,0.362,0.628285714,0.648139856,0.442545413,0.566251594
Viet Nam,VNM,0.607,0.3,0.761,0.734,0.2,0.581,0.689,0.538132855,0.198362495,0.397257859,1,0.113437746,0.415685526,0.684,0.451428571,0.275620678,0.637003951,0.449958771
Yemen,YEM,0.744,0.3,0.832,0.513,0.45,0.651,0.761,0.043367035,0.248967604,0.29666924,0.179226487,0.137328763,0.271944448,0.654,0.553142857,0.377917736,0.553280818,0.471720364
Zambia,ZMB,0.664,0.5,0.724,0.826,0.5,0.633,0.799,0.600586596,0.446600188,0.399891741,0.374736165,0.027473143,0.404992844,0.57,0.607285714,0.196334626,0.310624925,0.384336434
Zimbabwe,ZWE,0.3,0.1,0.584,0.04554,0.099,0.11528,0.448,0.215634865,0.192374597,0.205106447,0.262729118,0.045351835,0.12107668,0.482,0.663714286,0.482359508,0.344300538,0.500628048
,,,,,,,,,,,,,,,,0.241688571,0.20437197,0.227789408,0.211857378
