ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Raw Reporting,Input Reporting
KOR,"Korea, Republic of",0.23,0.22,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.14,0.17,,,
KWT,Kuwait,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.17,0.2,,,
KGZ,Kyrgyzstan,0.38,0.37,0.36,0.36,0.36,0.33,0.33,0.34,0.33,0.34,0.34,0.35,0.35,0.35,0.38,0.41,,,
LAO,Lao People's Democratic Republic,0.54,0.53,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.43,0.45,,,
LVA,Latvia,0.37,0.32,0.31,0.32,0.31,0.29,0.3,0.29,0.29,0.28,0.28,0.29,0.28,0.26,0.28,0.31,,,
LBN,Lebanon,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.29,0.32,,,
LSO,Lesotho,0.53,0.55,0.58,0.62,0.66,0.7,0.73,0.76,0.79,0.8,0.81,0.81,0.81,0.8,0.82,0.84,,,
LBR,Liberia,0.67,0.66,0.65,0.64,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.56,0.58,,,
LBY,Libyan Arab Jamahiriya,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.24,0.27,,,
LIE,Liechtenstein,0.41,0.38,0.34,0.31,0.28,0.25,0.22,0.18,0.15,0.12,0.09,0.08,0.07,0.05,0.08,0.11,,,
LTU,Lithuania,0.32,0.3,0.28,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.28,0.28,0.28,0.26,0.29,0.32,,,
LUX,Luxembourg,0.17,0.17,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.12,0.11,0.11,0.11,0.09,0.12,0.15,,,
MDG,Madagascar,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.52,0.54,,,
MWI,Malawi,0.66,0.66,0.66,0.67,0.67,0.68,0.69,0.69,0.69,0.69,0.68,0.67,0.65,0.64,0.66,0.68,,,
MYS,Malaysia,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.24,0.27,,,
MDV,Maldives,0.46,0.44,0.43,0.41,0.4,0.38,0.36,0.34,0.33,0.31,0.3,0.29,0.28,0.27,0.3,0.33,,,
MLI,Mali,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.77,0.77,0.76,0.75,0.75,0.74,0.73,0.75,0.77,,,
MLT,Malta,0.16,0.15,0.15,0.16,0.16,0.14,0.13,0.13,0.13,0.13,0.11,0.11,0.1,0.11,0.14,0.17,,,
MHL,Marshall Islands,0.46,0.43,0.4,0.38,0.35,0.4,0.42,0.45,0.47,0.5,0.53,0.55,0.58,0.6,0.63,0.66,,,
MRT,Mauritania,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.61,,,
MUS,Mauritius,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.28,0.31,,,
MEX,Mexico,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.23,0.26,,,
FSM,"Micronesia, Federated States of",0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.36,0.38,,,
MDA,"Moldova, Republic of",0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.36,0.39,,,
MCO,Monaco,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,,,
MKD,Macedonia,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.25,0.28,,,
MNG,Mongolia,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.4,0.42,,,
MNE,Montenegro,0.18,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.25,0.28,,,
MAR,Morocco,0.37,0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.3,0.33,,,
MOZ,Mozambique,0.78,0.77,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.76,0.78,,,
MMR,Myanmar,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.47,0.49,0.52,,,
NAM,Namibia,0.44,0.45,0.47,0.49,0.51,0.53,0.54,0.55,0.55,0.54,0.53,0.51,0.49,0.48,0.5,0.53,,,
NRU,Nauru,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,,,
NPL,Nepal,0.55,0.53,0.52,0.5,0.48,0.47,0.45,0.44,0.42,0.41,0.4,0.38,0.37,0.37,0.39,0.42,,,
NLD,Netherlands,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.11,0.1,0.09,0.09,0.12,0.16,,,
NZL,New Zealand,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.13,0.16,,,
NIC,Nicaragua,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.24,0.27,0.3,,,
NER,Niger,0.83,0.82,0.81,0.8,0.79,0.77,0.76,0.75,0.73,0.72,0.71,0.69,0.68,0.67,0.69,0.71,,,
NGA,Nigeria,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.76,0.78,,,
NOR,Norway,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.12,0.15,,,
OMN,Oman,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.21,0.24,,,
