ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEN,Benin,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.666599989,0.688199997,0.709800005,0.731400013,0.753,0.753,0.753
BTN,Bhutan,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433
BOL,"Bolivia, Plurinational State of",0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.393000007,0.346000004,0.299000001,0.252,0.252
BIH,Bosnia and Herzegovina,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.244250011,0.225500011,0.206750011,0.188,0.188,0.188
BWA,Botswana,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.197249997,0.254500008,0.311749983,0.369,0.369
BRA,Brazil,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.184666669,0.207333326,0.229999995,0.252666664,0.275333333,0.298,0.298,0.298
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.1255,0.12,0.140499997,0.161,0.161,0.161
BFA,Burkina Faso,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.450333309,0.514666653,0.579,0.579,0.579
BDI,Burundi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHM,Cambodia,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.228999996,0.234000015,0.23900001,0.244,0.244,0.244,0.244,0.244
CMR,Cameroon,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.522000027,0.505999994,0.49,0.49,0.49
CAN,Canada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CPV,Cape Verde,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.773333359,0.661666679,0.55,0.55,0.55
CAF,Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
