"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"FJI","Fiji",49.1,49.2,49.2,49.2,49.2,49.2,49.2,48.22,47.23,46.25,45.26,44.28,43.3,42.31,41.33,40.34,
"FIN","Finland",63,64,64,64,64.5,62,64,64,64.6,64.7,65.04,65.28,65.36,65.47,64.16,62.85,
"FRA","France",98,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"GAB","Gabon",8.2,9.9,9.9,9.9,9.9,9.9,9.98,10.05,10.13,10.21,10.01,9.8,9.6,9.39,9.19,8.98,
"GMB","Gambia",16.23,16.62,17,17.39,17.77,18.16,18.55,18.93,19.32,19.32,18.93,18.55,18.16,17.77,17.39,17,
"GEO","Georgia",93.5,93.5,93.7,93.4,93.48,93.57,93.65,93.73,93.82,93.9,93.98,94.07,94.07,92.19,90.3,88.42,
"DEU","Germany",99,99.1,99.23,99.36,99.49,99.61,99.74,99.87,100,98,96,94,92,90,88,86,
"GHA","Ghana",24.9,24.1,25.93,27.77,29.6,29.6,18.4,18.16,17.92,16.43,14.93,14.63,14.33,14.03,13.74,13.44,
"GRC","Greece",91.7,91.8,91.8,91.8,91.8,91.8,89.96,88.13,86.29,84.46,82.62,80.78,78.95,77.11,75.28,73.44,
"GRD","Grenada",61.2,61.3,61.3,61.3,60.96,60.96,60.96,59.74,58.52,57.3,56.08,54.86,53.64,52.43,51.21,49.99,
"GTM","Guatemala",26,25.8,26.4,31,34.5,34.5,34.5,33.81,33.12,32.43,31.74,31.05,30.36,29.67,28.98,28.29,
"GIN","Guinea",16.4,16.5,16.5,16.5,16.5,16.5,14.26,12.03,9.79,9.59,9.4,9.2,9.01,8.81,8.62,8.42,
"GNB","Guinea-Bissau",10.2,10.3,10.3,10.3,14.71,19.12,23.53,27.94,27.38,26.82,26.26,25.7,25.15,24.59,24.03,23.47,
"GUY","Guyana",7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.25,7.1,6.96,6.81,6.66,6.51,6.36,6.22,6.07,
"HTI","Haiti",24.2,24.3,24.3,24.3,24.3,24.3,24.3,23.81,23.33,22.84,22.36,21.87,21.38,20.9,20.41,19.93,
"HND","Honduras",20.4,20.4,20.4,20.4,20.4,20.4,20.4,19.99,19.58,19.18,18.77,18.36,17.95,17.54,17.14,16.73,
