ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
DOM,Dominican Republic,0.401259409,0.401259409,0.40226419,0.403268971,0.389811707,0.376354436,0.369367385,0.362380353,0.37582871,0.368410242,0.363677588,0.393213862,0.384870544,0.373835905,0.345744374,0.337717145,0.348466434,0.348466434
ECU,Ecuador,0.400137414,0.400137414,0.387270284,0.374403172,0.368053699,0.361704233,0.354970384,0.348236549,0.346027756,0.351045818,0.332549184,0.287301695,0.286912213,0.263485483,0.256454384,0.265942479,0.272048938,0.272048938
EGY,Egypt,0.509314403,0.509314403,0.502113293,0.494912182,0.496295806,0.497679429,0.504019234,0.510359039,0.512331159,0.517695411,0.505151054,0.455637235,0.459536279,0.481153448,0.488259418,0.477311178,0.41621752,0.41621752
SLV,El Salvador,0.313967616,0.313967616,0.332055926,0.350144219,0.345615542,0.341086864,0.364471555,0.387856256,0.402751059,0.424658947,0.40611482,0.371525639,0.361555155,0.357476823,0.34018246,0.325945432,0.35478794,0.35478794
GNQ,Equatorial Guinea,0.266818966,0.266818966,0.238961124,0.211103246,0.225115538,0.239127847,0.23057375,0.222019679,0.230161619,0.210801103,0.213712292,0.229329444,0.24476438,0.251529213,0.251938492,0.247921841,0.258616757,0.258616757
ERI,Eritrea,0.424809698,0.424809698,0.439859647,0.454909591,0.430838543,0.406767496,0.414252043,0.421736599,0.398643387,0.361053537,0.331476538,0.284285178,0.257532696,0.255943905,0.250585689,0.242537275,0.245123995,0.245123995
EST,Estonia,0.594723443,0.594723443,0.600677788,0.60663214,0.611550188,0.616468241,0.634148526,0.651828828,0.650461806,0.684394762,0.684472776,0.719066096,0.724900626,0.733388111,0.724214865,0.730989445,0.73538126,0.73538126
ETH,Ethiopia,0.317806267,0.317806267,0.329937005,0.342067759,0.334202218,0.32633667,0.322582841,0.318829017,0.339985689,0.337766174,0.327316526,0.378708863,0.382456062,0.369128212,0.343965132,0.349995156,0.357164208,0.357164208
FJI,Fiji,0.541341315,0.541341315,0.531594729,0.521848142,0.460985076,0.400122007,0.41086241,0.421602818,0.475277253,0.499220778,0.487334951,0.483999385,0.379814902,0.389164409,0.348672968,0.330473517,0.318936212,0.318936212
FIN,Finland,0.875400346,0.875400346,0.884802437,0.894204555,0.890965915,0.887727289,0.883853436,0.879979611,0.892698129,0.894100369,0.890767215,0.892715778,0.879102031,0.881635187,0.893701687,0.89403634,0.891798517,0.891798517
FRA,France,0.789413297,0.789413297,0.780940866,0.772468473,0.776773834,0.781079232,0.760302663,0.739526106,0.768007788,0.790214668,0.779887201,0.784203345,0.781265834,0.791364161,0.791643632,0.807695623,0.799017178,0.799017178
GAB,Gabon,0.374811702,0.374811702,0.403166097,0.431520497,0.449942094,0.468363692,0.46360153,0.458839362,0.42270296,0.398154786,0.40729099,0.360684916,0.367372766,0.380570687,0.390759293,0.397362594,0.40192582,0.40192582
GMB,Gambia,0.521143845,0.521143845,0.514554948,0.507966051,0.490825551,0.47368505,0.457881901,0.442078749,0.532688271,0.440211435,0.444042368,0.439370386,0.451852712,0.428868707,0.410058711,0.397569819,0.400040801,0.400040801
GEO,Georgia,0.209510492,0.209510492,0.209470916,0.209431344,0.243009019,0.276586701,0.271515083,0.266443446,0.299735579,0.367006805,0.354777635,0.406533945,0.432487575,0.448319735,0.458527902,0.457981881,0.467402398,0.467402398
DEU,Germany,0.813167907,0.813167907,0.817396736,0.821625589,0.819595385,0.817565156,0.819899321,0.822233484,0.824824584,0.825918142,0.831439666,0.845148263,0.843164535,0.837773717,0.830157983,0.825379564,0.821247374,0.821247374
GHA,Ghana,0.431993913,0.431993913,0.422278047,0.41256218,0.465699214,0.518836247,0.506950604,0.495064962,0.499174488,0.470947528,0.47188291,0.504319047,0.501318429,0.482085729,0.482792434,0.485110361,0.487230684,0.487230684
GRC,Greece,0.695600784,0.695600784,0.669377184,0.643153592,0.653938496,0.664723401,0.653453588,0.64218377,0.659901429,0.683257882,0.655116649,0.664038603,0.659448939,0.658094029,0.62595883,0.623257381,0.614819424,0.614819424
GRD,Grenada,0.565627655,0.565627655,0.574145025,0.582662396,0.575215781,0.56776917,0.568486965,0.569204768,0.560977818,0.561729105,0.561611238,0.542091875,0.538206241,0.527427174,0.529857245,0.522889999,0.520788592,0.520788592
GTM,Guatemala,0.262431077,0.262431077,0.267894363,0.273357664,0.29483881,0.316319992,0.30743134,0.29854268,0.279267963,0.297429412,0.280673944,0.276012535,0.268669323,0.267263142,0.27912863,0.292198538,0.293997417,0.293997417
GIN,Guinea,0.198575072,0.198575072,0.222229981,0.245884889,0.230820918,0.215756935,0.259707618,0.303658305,0.278801559,0.252002088,0.228899311,0.216716452,0.207417425,0.192888737,0.191343678,0.19900207,0.205183491,0.205183491
GNB,GuineaBissau,0.094712188,0.094712188,0.090148497,0.08558476,0.153426981,0.221269186,0.240451026,0.259632863,0.263120054,0.263300443,0.244215289,0.246364715,0.231180272,0.216645604,0.227639065,0.229684439,0.237804753,0.237804753
GUY,Guyana,0.428828624,0.428828624,0.422718048,0.416607461,0.40355559,0.390503718,0.389888096,0.389272483,0.378674969,0.369207876,0.35374715,0.380137989,0.400098699,0.369532783,0.385733065,0.40468904,0.406676756,0.406676756
HTI,Haiti,0.165081691,0.165081691,0.171926737,0.178771787,0.177695394,0.17661901,0.147369838,0.118120668,0.124582791,0.142735769,0.161949933,0.206131674,0.219145867,0.236414635,0.236201111,0.228385386,0.224850369,0.224850369
HND,Honduras,0.317119573,0.317119573,0.313407826,0.309696074,0.305726647,0.301757199,0.311632621,0.321508034,0.327419344,0.351445717,0.345546472,0.299066014,0.315090526,0.303863882,0.316607763,0.3235004,0.31848033,0.31848033
HUN,Hungary,0.666258164,0.666258164,0.662182021,0.658105891,0.664436722,0.670767562,0.678375077,0.685982601,0.678216071,0.678491505,0.664905916,0.680738437,0.67237636,0.66715684,0.657301877,0.655908161,0.654726222,0.654726222
ISL,Iceland,0.816441937,0.816441937,0.827326727,0.838211542,0.849354267,0.860497024,0.866753531,0.873010055,0.888436901,0.892132657,0.894977844,0.880930327,0.869556508,0.87807618,0.840132902,0.83883191,0.837237361,0.837237361
