ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,France,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.095272627,0.089080461,0.082888306,0.082888306,0.082888306,0.082888306,0.082888306
GAB,Gabon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GMB,Gambia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GEO,Georgia,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.060640937,0.064727202,0.061289201,0.061289201,0.061289201,0.061289201
DEU,Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GHA,Ghana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GRC,Greece,0.563764371,0.563764371,0.563764371,0.563764371,0.563764371,0.563764371,0.563764371,0.563764371,0.563764371,0.613441623,0.663118836,0.341274228,0.537998181,0.332004038,0.324581644,0.324581644,0.324581644
GRD,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,Guatemala,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GIN,Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GNB,GuineaBissau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GUY,Guyana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HTI,Haiti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HND,Honduras,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HUN,Hungary,0.031438663,0.031438663,0.031438663,0.031438663,0.031438663,0.031438663,0.031438663,0.031438663,0.031438663,0.021006766,0.005698135,0.006643457,0.021764725,0.007789645,0.016999157,0.016999157,0.016999157
ISL,Iceland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IND,India,0.637310155,0.637310155,0.637310155,0.637310155,0.637310155,0.637310155,0.637310155,0.624833354,0.589327437,0.625087843,0.651391654,0.664626565,0.680350581,0.686929773,0.696247086,0.696247086,0.696247086
IDN,Indonesia,0.316920088,0.316920088,0.316920088,0.316920088,0.316920088,0.316920088,0.316920088,0.316920088,0.219379288,0.282997981,0.306397619,0.306397619,0.306397619,0.306397619,0.306397619,0.306397619,0.306397619
IRN,"Iran, Islamic Republic of",0.236072851,0.236072851,0.236072851,0.236072851,0.236072851,0.236072851,0.236072851,0.23955342,0.243073562,0.246569577,0.346913925,0.35127357,0.355550679,0.367775437,0.367775437,0.367775437,0.367775437
IRQ,Iraq,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRL,Ireland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ISR,Israel,0.623485758,0.623485758,0.623485758,0.623485758,0.623485758,0.623485758,0.623485758,0.610323704,0.606311098,0.602298542,0.598285948,0.594273392,0.590260815,0.574237435,0.558214091,0.558214091,0.558214091
ITA,Italy,0.353748342,0.353748342,0.353748342,0.353748342,0.353748342,0.353748342,0.353748342,0.353748342,0.353748342,0.347609734,0.341471117,0.35262357,0.363776015,0.363776015,0.363776015,0.363776015,0.363776015
