ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CIV,C™te d'Ivoire,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HRV,Croatia,0.752508361,0.752508361,0.752508361,0.752508361,0.752508361,0.752508361,0.752508361,0.752508361,0.752508361,1.020408163,1.32122213,0.325203252,0.665557404,0.525086403,0.384615385,0.384615385,0.384615385
CUB,Cuba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CYP,Cyprus,25,25,25,25,25,25,25,25,22.92993631,21.79487179,20.95808383,21.01910828,19.72789116,20.86956522,20.8,20.8,20.8
CZE,Czech Republic,0.374795034,0.374795034,0.374795034,0.374795034,0.374795034,0.374795034,0.374795034,0.374795034,0.374795034,0.386928022,0.399061033,0.434880018,0.470698988,0.235626767,0.259495164,0.259495164,0.259495164
DNK,Denmark,7.623318386,7.623318386,7.623318386,7.623318386,7.623318386,7.623318386,7.623318386,7.65478424,7.674943567,7.709750567,9.678611008,9.667896679,9.538114908,9.52023988,9.643128322,9.643128322,9.643128322
DJI,Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DMA,Dominica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DOM,Dominican Republic,8.866799205,8.866799205,8.866799205,8.866799205,8.866799205,8.866799205,8.866799205,7.912524851,7.661126875,9.039319011,9.039319011,9.039319011,9.039319011,9.039319011,9.039319011,9.039319011,9.039319011
ECU,Ecuador,8.584779706,8.584779706,8.584779706,8.584779706,8.584779706,8.584779706,8.584779706,8.584779706,9.268965517,9.525707453,10.02666667,10.22299839,10.75283324,10.18132975,12.63604991,12.63604991,12.63604991
EGY,Egypt,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SLV,El Salvador,1.805286912,1.805286912,1.805286912,1.805286912,1.805286912,1.805286912,1.805286912,1.805286912,1.805286912,1.739130435,1.916932907,2.170963365,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574
GNQ,Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ERI,Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EST,Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ETH,Ethiopia,0.382826589,0.382826589,0.382826589,0.382826589,0.382826589,0.382826589,0.382826589,0.382826589,0.382826589,0.365547869,0.436318305,0.394517666,0.467542834,0.475183264,0.485922538,0.485922538,0.485922538
FJI,Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FIN,Finland,2.880288029,2.880288029,2.880288029,2.880288029,2.880288029,2.880288029,2.880288029,2.862254025,2.84951024,2.840656902,2.814423923,2.814423923,2.814423923,2.814423923,2.814423923,2.814423923,2.814423923
FRA,France,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.668358714,5.364942551,5.061526956,5.061526956,5.061526956,5.061526956,5.061526956
GAB,Gabon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GMB,Gambia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GEO,Georgia,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,3.971405878,4.171632896,4.003170828,4.003170828,4.003170828,4.003170828
DEU,Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GHA,Ghana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GRC,Greece,28.62445415,28.62445415,28.62445415,28.62445415,28.62445415,28.62445415,28.62445415,28.62445415,28.62445415,31.05863953,33.49282297,17.72243714,27.36191086,17.26819784,16.90450055,16.90450055,16.90450055
GRD,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,Guatemala,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GIN,Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GNB,GuineaBissau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GUY,Guyana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HTI,Haiti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HND,Honduras,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
