"ISO_3"	"name"	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011								"Agric Capacity"		
"TGO"	"Togo"	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.012	0.005	0.014	0.008	0.01	0.008	0.008	0.008									0.15	2010	16
"TON"	"Tonga"	0.067	0.067	0.068	0.067	0.064	0.062	0.058	0.079	0.572	0.244	0.158	0.082	0.017	0.112	0.112	0.112									0.01	2010	16
"TTO"	"Trinidad and Tobago"	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.006	0.896	0.395	0.627	0.243	0.627	0.627	0.627									0.22	2010	16
"TUN"	"Tunisia"	0.174	0.174	0.173	0.172	0.171	0.172	0.174	0.174	0.191	0.198	0.211	0.246	0.193	0.205	0.094	0.094									0	2010	16
"TUR"	"Turkey"	0.52	0.527	0.542	0.547	0.553	0.56	0.559	0.56	0.643	0.647	0.657	0.671	0.667	0.659	0.281	0.281									0.01	2010	16
"TKM"	"Turkmenistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.11	2010	16
"TUV"	"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.63	2010	16
"UGA"	"Uganda"	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.003	0.003	0.002	0.002	0.002	0.006	0.006	0.006									0.09	2010	16
"UKR"	"Ukraine"	0.176	0.172	0.167	0.163	0.159	0.155	0.169	0.168	0.165	0.164	0.164	0.178	0.197	0.211	0.107	0.107									0.28	2010	16
"ARE"	"United Arab Emirates"	0.532	0.531	0.53	0.538	0.532	0.532	0.5	0.5	0.5	0.5	0.387	0.5	0.5	0.5	0.5	0.5									0	2010	16
"GBR"	"United Kingdom"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.483	0.424	0.432	0.347	0.347	0.347									0	2010	16
"USA"	"United States"	0.304	0.306	0.307	0.309	0.311	0.313	0.314	0.315	0.322	0.325	0.319	0.328	0.324	0.172	0.172	0.172									0.01	2010	16
"URY"	"Uruguay"	0.259	0.256	0.259	0.26	0.263	0.264	0.264	0.271	0.36	0.395	0.414	0.417	0.465	0.333	0.209	0.209									0.11	2010	16
"UZB"	"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.5	2010	16
"VUT"	"Vanuatu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.35	2010	16
"VEN"	"Venezuela, Bolivarian Republic of"	0.241	0.241	0.241	0.241	0.241	0.241	0.241	0.241	0.281	0.316	0.276	0.234	0.322	0.388	0.388	0.388									0.17	2010	16
"VNM"	"Viet Nam"	0.591	0.599	0.602	0.607	0.622	0.631	0.5	0.5	0.5	0.5	0.487	0.493	0.5	0.478	0.478	0.478									0.21	2010	16
"YEM"	"Yemen"	0.074	0.074	0.075	0.075	0.075	0.077	0.042	0.042	0.027	0.051	0.037	0.047	0.07	0.056	0.056	0.056									0	2010	16
"ZMB"	"Zambia"	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.055	0.063	0.059	0.053	0.066	0.083	0.083	0.083									0	2010	16
"ZWE"	"Zimbabwe"	0.099	0.099	0.101	0.066	0.066	0.066	0.066	0.066	0.074	0.043	0.041	0.062	0.05	0.047	0.047	0.047									0.39	2010	16
																										0.48	2010	16
																										0.06	2010	16
																										0.08	2010	16
																										0.05	2010	16
