"ISO_3"	"name"	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011								"Agric Capacity"		
"BIH"	"Bosnia and Herzegovina"	0.225	0.216	0.054	0.054	0.054	0.054	0.054	0.054	0.029	0.097	0.041	0.026	0.036	0.02	0.02	0.02									0.08	2010	16
"BWA"	"Botswana"	0.054	0.054	0.061	0.073	0.076	0.038	0.079	0.064	0.076	0.068	0.061	0.059	0.057	0.067	0	0									0	2010	16
"BRA"	"Brazil"	0.278	0.279	0.279	0.279	0.279	0.279	0.277	0.277	0.341	0.35	0.292	0.3	0.309	0.276	0.276	0.276									0.08	2010	16
"BRN"	"Brunei Darussalam"	0	0	0	0	0	0	0	0	0.17	0.253	0.5	0.11	0.5	0.164	0.164	0.164									0.01	2010	16
"BGR"	"Bulgaria"	0.267	0.265	0.265	0.276	0.276	0.268	0.266	0.267	0.323	0.207	0.201	0.252	0.218	0.252	0.151	0.151									0.02	2010	16
"BFA"	"Burkina Faso"	0.004	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.018	0.02	0.026	0.012	0.008	0.006	0.006	0.006									0	2010	16
"BDI"	"Burundi"	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.001	0.002	0.006	0.006	0.003	0.004	0.004	0.004									0.28	2010	16
"KHM"	"Cambodia"	0.027	0.027	0.027	0.028	0.028	0.029	0.029	0.03	0.037	0.035	0.039	0.042	0.041	0.044	0.038	0.038									0.16	2010	16
"CMR"	"Cameroon"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.013	0.021	0.013	0.015	0.014	0.014	0.014	0.014									0.15	2010	16
"CAN"	"Canada"	0.175	0.174	0.174	0.175	0.175	0.176	0.176	0.176	0.179	0.172	0.184	0.23	0.12	0.095	0.095	0.095									0.01	2010	16
"CPV"	"Cape Verde"	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.006	0	0	0	0	0	0									0	2010	16
"CAF"	"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.04	2010	16
"TCD"	"Chad"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.01	2010	16
"CHL"	"Chile"	0.714	0.724	0.748	0.748	0.762	0.766	0.766	0.776	0.792	0.792	0.798	0.812	0.826	0.556	0.556	0.556									0.09	2010	16
"CHN"	"China"	0.646	0.646	0.648	0.65	0.656	0.671	0.684	0.667	0.674	0.686	0.717	0.745	0.79	0.842	0.602	0.602									0	2010	16
"COL"	"Colombia"	0.548	0.543	0.541	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5									0	2010	16
"COM"	"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	2010	16
"COG"	"Congo"	0	0	0	0	0	0	0	0	0	0.004	0	0	0.014	0.002	0.002	0.002									0.56	2010	16
