"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"DEU","Germany",,1.11,,1.21,,1.22,,1.09,0.7,0.76,0.88,1.01,1,0.97,0.85,,
"GHA","Ghana",,-0.06,,-0.1,,-0.19,,-0.15,-0.09,-0.13,0.14,0.14,0.08,0.12,0.16,,
"GRC","Greece",,0.52,,0.33,,0.73,,0.88,0.75,0.59,0.56,0.63,0.53,0.34,-0.06,,
"GRD","Grenada",,1.04,,0.86,,0.83,,0.86,0.94,0.95,0.45,0.47,0.44,0.44,0.46,,
"GTM","Guatemala",,-1.6,,-0.81,,-0.68,,-0.87,-0.85,-0.83,-0.89,-0.7,-0.72,-0.65,-0.73,,
"GIN","Guinea",,-1.42,,-0.58,,-1.79,,-1.51,-0.74,-1,-1.12,-1.82,-2.26,-2.05,-1.9,,
"GNB","Guinea-Bissau",,-0.58,,-1.79,,-0.81,,-0.7,-0.44,-0.34,-0.53,-0.4,-0.27,-0.59,-0.49,,
"GUY","Guyana",,0.02,,-0.04,,-0.56,,-0.54,-0.52,-0.56,-0.4,-0.76,-0.51,-0.6,-0.53,,
"HTI","Haiti",,-0.43,,-1.4,,-0.82,,-1.3,-1.29,-2.09,-1.87,-1.4,-1.34,-1.37,-0.87,,
"HND","Honduras",,-0.46,,-0.27,,-0.23,,-0.36,-0.49,-0.53,-0.71,-0.56,-0.43,-0.46,-0.27,,
"HUN","Hungary",,0.82,,1.16,,0.83,,1.12,1.1,0.87,0.93,0.95,0.75,0.75,0.6,,
"ISL","Iceland",,1.07,,1.28,,1.42,,1.53,1.51,1.4,1.41,1.43,1.49,1.2,1.21,,
"IND","India",,-1.05,,-0.8,,-0.62,,-0.87,-1.14,-0.8,-0.65,-0.85,-0.94,-0.9,-1.19,,
"IDN","Indonesia",,-1.03,,-1.48,,-1.77,,-1.59,-2.04,-1.57,-1.19,-1.17,-0.99,-0.91,-0.64,,
"IRN","Iran, Islamic Republic of",,-0.63,,-0.41,,-0.41,,-0.8,-0.98,-1.01,-1.06,-1.29,-1.19,-1.13,-1.52,,
"IRQ","Iraq",,-2.88,,-2.33,,-1.75,,-1.93,-2.37,-3.08,-2.79,-2.88,-2.81,-2.55,-2.33,,
"IRL","Ireland",,1.06,,1.27,,1.32,,1.35,1.34,1.19,1.21,1.12,1.13,1.16,0.98,,
"ISR","Israel",,-0.53,,-0.88,,-0.74,,-1.4,-1.3,-1.1,-0.9,-1.15,-1.13,-1.2,-1.45,,
