ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
ECU,Ecuador,4,3.917999983,3.835999966,3.753999949,3.671999931,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59
EGY,Egypt,102.7,105.9599991,109.2200012,112.4799957,115.7399979,119,119,119,119,119,119,119,119,119,119,119,119,119
SLV,El Salvador,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
GNQ,Equatorial Guinea,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
ERI,Eritrea,6.56,6.56,6.56,6.56,6.56,6.56,7.095999718,7.631999969,8.168000221,8.703999519,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24
EST,Estonia,1.23,3.266000032,5.302000046,7.338000298,9.374000549,11.41,11.93200016,12.45400047,12.97599983,13.49800014,14.02,14.02,14.02,14.02,14.02,14.02,14.02,14.02
ETH,Ethiopia,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
FJI,Fiji,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
FIN,Finland,2.35,2.291999817,2.233999968,2.17599988,2.118000031,2.06,1.94599998,1.832000017,1.717999935,1.603999972,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
FRA,France,15.5,15.5,15.5,15.5,15.5,15.5,15.39599991,15.29199982,15.18799973,15.08399963,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98
GAB,Gabon,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GMB,Gambia,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GEO,Georgia,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
