ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
GNQ,Equatorial Guinea,0.61166,0.611716,0.611772,0.611828,0.611884,0.61194,0.611802,0.611664,0.611526,0.611388,0.61125,0.610326,0.609402,0.608478,0.607554,0.60663,0.604878,0.604878
ERI,Eritrea,0.83446,0.83232,0.83018,0.82804,0.8259,0.82376,0.820898,0.818036,0.815174,0.812312,0.80945,0.80576,0.80207,0.79838,0.79469,0.791,0.78637,0.78637
EST,Estonia,0.30021,0.301366,0.302522,0.303678,0.304834,0.30599,0.305942,0.305894,0.305846,0.305798,0.30575,0.305678,0.305606,0.305534,0.305462,0.30539,0.304822,0.304822
ETH,Ethiopia,0.86173,0.859906,0.858082,0.856258,0.854434,0.85261,0.850688,0.848766,0.846844,0.844922,0.843,0.840886,0.838772,0.836658,0.834544,0.83243,0.829816,0.829816
FJI,Fiji,0.54504,0.540216,0.535392,0.530568,0.525744,0.52092,0.516994,0.513068,0.509142,0.505216,0.50129,0.497358,0.493426,0.489494,0.485562,0.48163,0.477678,0.477678
FIN,Finland,0.19037,0.18793,0.18549,0.18305,0.18061,0.17817,0.176726,0.175282,0.173838,0.172394,0.17095,0.169644,0.168338,0.167032,0.165726,0.16442,0.163122,0.163122
FRA,France,0.25088,0.246914,0.242948,0.238982,0.235016,0.23105,0.22173,0.21241,0.20309,0.19377,0.18445,0.177102,0.169754,0.162406,0.155058,0.14771,0.142566,0.142566
GAB,Gabon,0.24641,0.236912,0.227414,0.217916,0.208418,0.19892,0.192148,0.185376,0.178604,0.171832,0.16506,0.160372,0.155684,0.150996,0.146308,0.14162,0.138522,0.138522
GMB,Gambia,0.56189,0.551872,0.541854,0.531836,0.521818,0.5118,0.503198,0.494596,0.485994,0.477392,0.46879,0.46172,0.45465,0.44758,0.44051,0.43344,0.427916,0.427916
GEO,Georgia,0.46159,0.463996,0.466402,0.468808,0.471214,0.47362,0.473956,0.474292,0.474628,0.474964,0.4753,0.474756,0.474212,0.473668,0.473124,0.47258,0.471392,0.471392
DEU,Germany,0.26714,0.267578,0.268016,0.268454,0.268892,0.26933,0.268754,0.268178,0.267602,0.267026,0.26645,0.26553,0.26461,0.26369,0.26277,0.26185,0.260556,0.260556
GHA,Ghana,0.59861,0.59098,0.58335,0.57572,0.56809,0.56046,0.55298,0.5455,0.53802,0.53054,0.52306,0.516018,0.508976,0.501934,0.494892,0.48785,0.481316,0.481316
GRC,Greece,0.40713,0.406232,0.405334,0.404436,0.403538,0.40264,0.40148,0.40032,0.39916,0.398,0.39684,0.395034,0.393228,0.391422,0.389616,0.38781,0.385372,0.385372
GRD,Grenada,0.65452,0.651874,0.649228,0.646582,0.643936,0.64129,0.6385,0.63571,0.63292,0.63013,0.62734,0.624246,0.621152,0.618058,0.614964,0.61187,0.60847,0.60847
GTM,Guatemala,0.5689,0.564866,0.560832,0.556798,0.552764,0.54873,0.54464,0.54055,0.53646,0.53237,0.52828,0.523968,0.519656,0.515344,0.511032,0.50672,0.502176,0.502176
GIN,Guinea,0.70525,0.702154,0.699058,0.695962,0.692866,0.68977,0.686126,0.682482,0.678838,0.675194,0.67155,0.667304,0.663058,0.658812,0.654566,0.65032,0.64544,0.64544
GNB,GuineaBissau,0.67685,0.669778,0.662706,0.655634,0.648562,0.64149,0.634102,0.626714,0.619326,0.611938,0.60455,0.5972,0.58985,0.5825,0.57515,0.5678,0.561026,0.561026
GUY,Guyana,0.70863,0.709516,0.710402,0.711288,0.712174,0.71306,0.713832,0.714604,0.715376,0.716148,0.71692,0.716914,0.716908,0.716902,0.716896,0.71689,0.716,0.716
HTI,Haiti,0.6741,0.66808,0.66206,0.65604,0.65002,0.644,0.627036,0.610072,0.593108,0.576144,0.55918,0.543364,0.527548,0.511732,0.495916,0.4801,0.466874,0.466874
HND,Honduras,0.57059,0.565556,0.560522,0.555488,0.550454,0.54542,0.539038,0.532656,0.526274,0.519892,0.51351,0.507654,0.501798,0.495942,0.490086,0.48423,0.47849,0.47849
HUN,Hungary,0.34791,0.349178,0.350446,0.351714,0.352982,0.35425,0.35067,0.34709,0.34351,0.33993,0.33635,0.33115,0.32595,0.32075,0.31555,0.31035,0.305642,0.305642
ISL,Iceland,0.0837,0.082158,0.080616,0.079074,0.077532,0.07599,0.074718,0.073446,0.072174,0.070902,0.06963,0.068456,0.067282,0.066108,0.064934,0.06376,0.062708,0.062708
IND,India,0.73393,0.73181,0.72969,0.72757,0.72545,0.72333,0.720194,0.717058,0.713922,0.710786,0.70765,0.70426,0.70087,0.69748,0.69409,0.6907,0.68705,0.68705
IDN,Indonesia,0.64446,0.631564,0.618668,0.605772,0.592876,0.57998,0.57211,0.56424,0.55637,0.5485,0.54063,0.532656,0.524682,0.516708,0.508734,0.50076,0.493142,0.493142
IRN,"Iran, Islamic Republic of",0.39764,0.390028,0.382416,0.374804,0.367192,0.35958,0.352548,0.345516,0.338484,0.331452,0.32442,0.32166,0.3189,0.31614,0.31338,0.31062,0.309178,0.309178
IRQ,Iraq,0.3122,0.3141,0.316,0.3179,0.3198,0.3217,0.323276,0.324852,0.326428,0.328004,0.32958,0.330592,0.331604,0.332616,0.333628,0.33464,0.334962,0.334962
IRL,Ireland,0.4208,0.418348,0.415896,0.413444,0.410992,0.40854,0.405878,0.403216,0.400554,0.397892,0.39523,0.392388,0.389546,0.386704,0.383862,0.38102,0.37795,0.37795
ISR,Israel,0.09134,0.090666,0.089992,0.089318,0.088644,0.08797,0.08734,0.08671,0.08608,0.08545,0.08482,0.08421,0.0836,0.08299,0.08238,0.08177,0.081164,0.081164
ITA,Italy,0.33078,0.33018,0.32958,0.32898,0.32838,0.32778,0.327048,0.326316,0.325584,0.324852,0.32412,0.322856,0.321592,0.320328,0.319064,0.3178,0.316,0.316
JAM,Jamaica,0.49385,0.491452,0.489054,0.486656,0.484258,0.48186,0.481434,0.481008,0.480582,0.480156,0.47973,0.4798,0.47987,0.47994,0.48001,0.48008,0.47926,0.47926
JPN,Japan,0.21984,0.218574,0.217308,0.216042,0.214776,0.21351,0.198852,0.184194,0.169536,0.154878,0.14022,0.131094,0.121968,0.112842,0.103716,0.09459,0.088648,0.088648
JOR,Jordan,0.21635,0.213464,0.210578,0.207692,0.204806,0.20192,0.199182,0.196444,0.193706,0.190968,0.18823,0.185638,0.183046,0.180454,0.177862,0.17527,0.172882,0.172882
KAZ,Kazakhstan,0.44079,0.441174,0.441558,0.441942,0.442326,0.44271,0.44473,0.44675,0.44877,0.45079,0.45281,0.454784,0.456758,0.458732,0.460706,0.46268,0.463632,0.463632
KEN,Kenya,0.81737,0.814112,0.810854,0.807596,0.804338,0.80108,0.797514,0.793948,0.790382,0.786816,0.78325,0.779458,0.775666,0.771874,0.768082,0.76429,0.760158,0.760158
KIR,Kiribati,0.63591,0.622812,0.609714,0.596616,0.583518,0.57042,0.569234,0.568048,0.566862,0.565676,0.56449,0.563978,0.563466,0.562954,0.562442,0.56193,0.560634,0.560634
PRK,"Korea, Democratic People's Republic of",0.40982,0.409032,0.408244,0.407456,0.406668,0.40588,0.405094,0.404308,0.403522,0.402736,0.40195,0.40114,0.40033,0.39952,0.39871,0.3979,0.39658,0.39658
KOR,"Korea, Republic of",0.21761,0.214846,0.212082,0.209318,0.206554,0.20379,0.200342,0.196894,0.193446,0.189998,0.18655,0.183374,0.180198,0.177022,0.173846,0.17067,0.167992,0.167992
KWT,Kuwait,0.01957,0.019436,0.019302,0.019168,0.019034,0.0189,0.018766,0.018632,0.018498,0.018364,0.01823,0.0181,0.01797,0.01784,0.01771,0.01758,0.017452,0.017452
KGZ,Kyrgyzstan,0.63651,0.638612,0.640714,0.642816,0.644918,0.64702,0.647036,0.647052,0.647068,0.647084,0.6471,0.647072,0.647044,0.647016,0.646988,0.64696,0.646104,0.646104
LAO,Lao People's Democratic Republic,0.82622,0.817022,0.807824,0.798626,0.789428,0.78023,0.769412,0.758594,0.747776,0.736958,0.72614,0.71467,0.7032,0.69173,0.68026,0.66879,0.657776,0.657776
