ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
FJI,Fiji,0.509987932,0.509987932,0.520072941,0.530157951,0.458097759,0.386037566,0.440554142,0.495070714,0.523647638,0.495875086,0.516234479,0.432007053,0.406201928,0.388349011,0.34321824,0.29972447,0.30254672,0.30254672
FIN,Finland,0.81153435,0.81153435,0.80664463,0.8017549,0.816975617,0.832196322,0.824375105,0.81655385,0.812923199,0.861465162,0.840019036,0.806456696,0.797709845,0.80023507,0.799541279,0.804557816,0.807809835,0.807809835
FRA,France,0.762591841,0.762591841,0.745065451,0.727539043,0.729407334,0.731275628,0.728021431,0.724767243,0.717709158,0.788828549,0.795126623,0.761075187,0.752213209,0.761984035,0.751892098,0.743659418,0.739151123,0.739151123
GAB,Gabon,0.43586346,0.43586346,0.4276245,0.419385535,0.411271966,0.403158396,0.396482468,0.389806538,0.364596922,0.338868435,0.324876831,0.308405046,0.325182895,0.33133604,0.296371588,0.318615735,0.314547985,0.314547985
GMB,Gambia,0.235242997,0.235242997,0.27007966,0.304916324,0.288615155,0.272313969,0.321540403,0.370766821,0.424063581,0.379859742,0.305782651,0.325522648,0.323313143,0.329075275,0.297723967,0.283524587,0.259138884,0.259138884
GEO,Georgia,0.420513008,0.420513008,0.413900697,0.407288392,0.423586047,0.439883708,0.415387702,0.390891694,0.457153879,0.469713321,0.47553184,0.473514132,0.441841696,0.440978235,0.454339139,0.462319968,0.4639477,0.4639477
DEU,Germany,0.765407117,0.765407117,0.7614362,0.757465288,0.760501909,0.763538505,0.772751689,0.78196488,0.771389623,0.794557484,0.792464801,0.775451963,0.768449811,0.769078435,0.770454225,0.763122337,0.761684226,0.761684226
GHA,Ghana,0.432401287,0.432401287,0.430347419,0.428293548,0.456380802,0.484468058,0.486634809,0.48880156,0.555051957,0.530303541,0.548079634,0.578830113,0.597170186,0.581410574,0.600466832,0.602122659,0.599269803,0.599269803
GRC,Greece,0.694198055,0.694198055,0.705360246,0.71652243,0.70642662,0.696330788,0.69689641,0.697462027,0.711806432,0.727100194,0.706680254,0.694065613,0.697011266,0.686293241,0.679829353,0.680647578,0.663854361,0.663854361
GRD,Grenada,0.614157999,0.614157999,0.627189827,0.640221667,0.639702964,0.639184271,0.651100087,0.66301589,0.668884804,0.621242146,0.620556874,0.64933647,0.670255783,0.675028413,0.671493065,0.665967217,0.65952649,0.65952649
GTM,Guatemala,0.448179742,0.448179742,0.446893573,0.445607407,0.436414492,0.427221583,0.420680815,0.414140047,0.394654478,0.437641863,0.431850798,0.460807224,0.45910216,0.452002277,0.437671929,0.427063687,0.430682757,0.430682757
GIN,Guinea,0.230990491,0.230990491,0.246417046,0.261843616,0.263279033,0.264714453,0.249220562,0.233726682,0.256656313,0.243273755,0.27186396,0.253302064,0.222554234,0.210177922,0.241392222,0.313671972,0.314357839,0.314357839
