ISO3,name,"1,995.","1,996.","1,997.","1,998.","1,999.","2,000.","2,001.","2,002.","2,003.","2,004.","2,005.","2,006.","2,007.","2,008.","2,009.","2,010."
ERI,Eritrea,52.21,53.03,53.81,54.54,55.21,55.81,56.35,56.85,57.32,57.77,58.21,58.63,59.05,59.45,58.26,57.07
EST,Estonia,67.85,69.84,70.19,69.79,70.59,70.87,70.51,71.06,71.32,71.87,72.57,72.82,72.89,73.97,72.49,71.01
ETH,Ethiopia,49.16,49.61,50.05,50.50,50.94,51.38,51.82,52.28,52.76,53.24,53.73,54.23,54.72,55.20,54.09,52.99
FJI,Fiji,66.69,66.75,66.85,66.98,67.13,67.31,67.51,67.72,67.92,68.12,68.32,68.50,68.69,68.87,67.49,66.11
FIN,Finland,76.41,76.69,76.88,77.09,77.29,77.50,77.98,78.12,78.37,78.71,78.97,79.41,79.45,79.79,78.20,76.60
FRA,France,77.78,78.00,78.36,78.31,78.51,78.91,79.11,79.31,79.26,80.16,80.21,80.81,81.15,81.52,79.89,78.26
GAB,Gabon,61.25,61.10,60.86,60.57,60.23,59.89,59.60,59.39,59.29,59.31,59.45,59.71,60.05,60.44,59.24,58.03
GMB,Gambia,52.62,52.89,53.15,53.40,53.66,53.91,54.16,54.40,54.64,54.88,55.12,55.37,55.64,55.93,54.81,53.70
GEO,Georgia,70.56,70.67,70.80,70.93,71.06,71.18,71.26,71.32,71.36,71.37,71.38,71.40,71.45,71.55,70.12,68.69
DEU,Germany,76.42,76.67,77.07,77.48,77.73,77.93,78.33,78.23,78.48,78.48,79.31,79.76,79.98,80.09,78.49,76.88
GHA,Ghana,59.13,59.04,58.83,58.56,58.23,57.89,57.55,57.23,56.93,56.70,56.53,56.47,56.50,56.62,55.48,54.35
GRC,Greece,77.59,77.69,78.14,77.84,77.99,77.99,77.99,78.69,78.84,78.94,79.17,79.51,79.39,79.96,78.36,76.76
GRD,Grenada,71.69,72.06,72.41,72.74,73.08,73.41,73.73,74.03,74.30,74.54,74.76,74.96,75.15,75.32,73.82,72.31
GTM,Guatemala,64.96,65.53,66.10,66.66,67.22,67.75,68.23,68.67,69.05,69.37,69.65,69.89,70.12,70.34,68.93,67.52
GIN,Guinea,50.69,51.15,51.63,52.14,52.68,53.25,53.84,54.44,55.04,55.62,56.19,56.75,57.29,57.82,56.66,55.51
GNB,Guinea-Bissau,44.65,44.88,45.12,45.36,45.59,45.82,46.04,46.25,46.47,46.69,46.94,47.20,47.50,47.82,46.87,45.91
GUY,Guyana,62.34,62.38,62.45,62.59,62.80,63.09,63.46,63.91,64.40,64.94,65.49,66.04,66.59,67.11,65.76,64.42
HTI,Haiti,57.46,57.89,58.27,58.59,58.86,59.09,59.30,59.53,59.78,60.07,60.37,60.68,60.96,61.21,59.99,58.77
HND,Honduras,68.52,68.94,69.33,69.69,70.01,70.30,70.56,70.80,71.04,71.28,71.52,71.75,71.98,72.20,70.75,69.31
HUN,Hungary,69.79,70.33,70.70,70.56,70.68,71.25,72.20,72.35,72.45,72.65,72.83,73.38,73.47,74.01,72.53,71.05
ISL,Iceland,77.45,78.10,78.00,78.15,78.66,78.95,79.41,79.45,79.65,80.91,81.49,81.17,81.45,81.58,79.94,78.31
IND,India,59.64,59.97,60.31,60.64,60.97,61.28,61.59,61.89,62.19,62.48,62.78,63.08,63.39,63.72,62.44,61.17
IDN,Indonesia,64.39,65.03,65.66,66.26,66.84,67.37,67.87,68.35,68.80,69.24,69.66,70.06,70.44,70.79,69.38,67.96
IRN,"Iran, Islamic Republic of",67.05,67.48,67.90,68.30,68.69,69.06,69.42,69.76,70.07,70.37,70.66,70.93,71.19,71.44,70.01,68.58
IRQ,Iraq,68.90,69.69,70.33,70.76,70.97,70.94,70.66,70.20,69.64,69.05,68.50,68.11,67.91,67.93,66.57,65.21
IRL,Ireland,75.83,75.79,75.97,76.20,76.07,76.54,77.14,77.82,78.28,78.85,79.44,79.72,79.68,79.86,78.26,76.66
ISR,Israel,77.45,78.10,78.00,78.15,78.66,78.95,79.41,79.45,79.65,80.15,80.15,80.30,80.60,81.00,79.38,77.76
ITA,Italy,78.01,78.33,78.63,78.72,79.12,79.52,79.68,79.78,79.64,80.65,80.75,81.27,81.58,81.95,80.31,78.67
JAM,Jamaica,71.25,71.23,71.18,71.12,71.05,70.99,70.96,70.96,71.01,71.10,71.24,71.42,71.63,71.84,70.41,68.97
JPN,Japan,79.54,80.20,80.42,80.50,80.57,81.08,81.42,81.56,81.76,82.03,81.93,82.32,82.51,82.59,80.94,79.28
JOR,Jordan,69.01,69.36,69.69,70.02,70.33,70.63,70.92,71.20,71.47,71.73,71.99,72.24,72.48,72.71,71.26,69.81
KAZ,Kazakhstan,64.92,64.11,64.46,64.56,65.52,65.52,65.77,65.97,65.87,65.89,65.91,66.16,66.36,66.44,65.11,63.78
KEN,Kenya,57.46,56.50,55.49,54.48,53.56,52.79,52.25,51.94,51.87,52.03,52.41,52.94,53.58,54.24,53.15,52.07
KIR,Kiribati,59.44,59.94,60.44,60.14,59.84,59.54,61.18,62.82,62.20,61.57,60.95,59.73,58.51,57.29,56.07,54.85
PRK,"Korea, Democratic People's Republic of",68.62,68.16,67.70,67.29,66.95,66.69,66.52,66.44,66.43,66.49,66.60,66.76,66.95,67.16,65.81,64.47
KOR,"Korea, Republic of",73.39,73.82,74.25,74.81,75.37,75.86,76.34,76.82,77.26,77.85,78.43,78.97,79.32,79.83,78.24,76.64
KWT,Kuwait,75.93,76.12,76.31,76.49,76.67,76.83,76.99,77.14,77.29,77.43,77.57,77.70,77.84,77.97,76.41,74.85
KGZ,Kyrgyzstan,65.79,66.54,66.89,67.05,67.00,68.56,68.71,68.11,68.26,68.15,67.96,67.70,67.49,67.37,66.02,64.67
LAO,Lao People's Democratic Republic,58.02,58.67,59.28,59.88,60.45,60.99,61.53,62.05,62.56,63.06,63.56,64.05,64.52,64.97,63.67,62.37
LVA,Latvia,66.39,68.78,69.35,69.01,69.74,70.37,70.21,70.26,70.68,71.21,70.80,70.75,70.98,72.24,70.79,69.35
LBN,Lebanon,69.84,70.02,70.18,70.33,70.48,70.64,70.80,70.96,71.13,71.31,71.49,71.68,71.86,72.05,70.61,69.17
LSO,Lesotho,58.62,57.40,55.84,54.04,52.10,50.16,48.39,46.88,45.72,44.94,44.56,44.51,44.70,44.99,44.10,43.20
LBR,Liberia,51.36,51.97,52.58,53.19,53.80,54.40,54.98,55.52,56.04,56.53,57.00,57.43,57.85,58.26,57.10,55.93
LBY,Libyan Arab Jamahiriya,70.65,71.13,71.57,71.94,72.26,72.53,72.76,72.98,73.19,73.41,73.64,73.87,74.10,74.33,72.84,71.36
LIE,Liechtenstein,64.53,66.15,67.76,69.37,70.99,72.60,74.21,75.83,77.44,79.05,80.67,80.95,81.30,82.63,80.98,79.33
LTU,Lithuania,69.01,70.11,70.91,71.19,71.55,71.97,71.61,71.76,71.86,71.92,71.18,71.01,70.89,71.82,70.39,68.95
LUX,Luxembourg,76.51,76.52,76.88,77.02,77.77,77.87,77.88,78.12,77.93,79.10,79.42,79.29,79.37,80.52,78.91,77.30
MDG,Madagascar,54.03,54.55,55.05,55.54,56.02,56.50,56.98,57.46,57.95,58.43,58.92,59.40,59.88,60.34,59.13,57.93
MWI,Malawi,51.90,52.02,51.96,51.73,51.38,51.00,50.66,50.45,50.43,50.62,51.03,51.62,52.32,53.06,52.00,50.94
MYS,Malaysia,71.42,71.65,71.87,72.09,72.31,72.53,72.76,72.99,73.23,73.46,73.70,73.94,74.16,74.38,72.89,71.40
MDV,Maldives,62.20,62.83,63.56,64.37,65.24,66.14,67.04,67.90,68.70,69.43,70.07,70.63,71.13,71.58,70.15,68.72
MLI,Mali,44.17,44.44,44.72,45.00,45.30,45.62,45.94,46.28,46.62,46.97,47.33,47.69,48.06,48.43,47.46,46.49
MLT,Malta,77.14,77.29,77.44,77.18,77.15,78.20,78.44,78.39,78.65,78.55,79.27,79.39,79.80,79.64,78.05,76.46
MHL,Marshall Islands,62.10,63.45,64.80,66.15,67.50,65.24,63.93,62.63,61.32,60.02,58.72,57.41,56.11,54.80,53.50,52.19
